p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.316551541533135,0.996,0.293,0,0,HLA-DRA
0,2.24280171257375,1,0.31,0,0,CD74
0,2.1975010698958344,1,0.292,0,0,C1QB
0,2.195610488240384,0.985,0.262,0,0,RGS1
0,2.1753849193948165,0.999,0.225,0,0,MS4A7
0,2.161275459237026,0.998,0.262,0,0,CEBPD
0,2.1500800698404423,0.985,0.238,0,0,HLA-DPA1
0,2.1077061418993397,0.996,0.275,0,0,SRGN
0,2.039280225185143,0.969,0.216,0,0,HLA-DPB1
0,1.9764745000715838,0.99,0.246,0,0,C1QA
0,1.9440925529541053,0.996,0.208,0,0,C1QC
0,1.9388243661676676,0.998,0.252,0,0,TYROBP
0,1.9337853009287276,0.99,0.262,0,0,AIF1
0,1.9081941842252919,0.966,0.202,0,0,HLA-DRB1
0,1.8942161019179835,0.996,0.368,0,0,RNASET2
0,1.8609713784922757,0.977,0.194,0,0,GPR34
0,1.8000322553847223,0.984,0.218,0,0,RGS10
0,1.7738095231628228,0.995,0.266,0,0,CYBA
0,1.7315413549230037,0.991,0.239,0,0,A2M
0,1.7177353031467777,0.945,0.214,0,0,CXCR4
0,1.7053988591032954,0.933,0.216,0,0,CEBPB
0,1.66851152979397,0.962,0.18,0,0,CTSS
0,1.6657778955235238,0.937,0.186,0,0,FOLR2
0,1.6630071337617027,0.964,0.198,0,0,FCER1G
0,1.659593997270375,0.939,0.226,0,0,FYB1
0,1.648046158440709,0.987,0.232,0,0,LAPTM5
0,1.6236630359043467,0.939,0.172,0,0,PLXDC2
0,1.6061797589921267,0.924,0.171,0,0,HLA-DMA
0,1.6050225133996168,0.928,0.185,0,0,C3
0,1.599405094714285,0.928,0.215,0,0,CPM
0,1.5967336484531844,0.888,0.167,0,0,TREM2
0,1.5904514311827742,0.921,0.173,0,0,CREG1
0,1.5861560444231109,0.919,0.173,0,0,IL18
0,1.5680565075843125,0.924,0.171,0,0,CSF1R
0,1.5398156565304466,0.967,0.261,0,0,KCTD12
0,1.4999172547007236,0.937,0.193,0,0,SLCO2B1
0,1.4873412270213167,0.904,0.167,0,0,VSIR
0,1.4604756081499808,0.898,0.169,0,0,SLA
0,1.4573959425418388,0.904,0.167,0,0,CD68
0,1.4362266089823235,0.912,0.177,0,0,CD37
0,1.4192787240590712,0.931,0.189,0,0,CTSZ
0,1.410609379427666,0.872,0.169,0,0,MERTK
0,1.3377122068371785,0.812,0.131,0,0,APBB1IP
0,1.275261979431774,0.869,0.155,0,0,LY86
1.6897240615903068e-306,1.2793671266147366,0.821,0.136,3.1041920735475527e-302,0,HLA-DMB
9.880289642654082e-306,1.7153121206799675,0.991,0.278,1.8151080102519814e-301,0,HLA-E
2.852115567221585e-305,1.3052847077169334,0.918,0.178,5.239621508542774e-301,0,HCLS1
1.624665370971076e-302,1.5251939599692212,0.923,0.214,2.984672753010964e-298,0,FCGRT
3.4242586307998674e-300,1.4688656999771657,0.96,0.231,6.290705530642437e-296,0,FKBP5
1.1208439670253652e-299,1.2712721897110186,0.912,0.177,2.0591024518222985e-295,0,PTPRC
1.4647910669706195e-299,1.5096608029599243,0.854,0.16,2.690967669131725e-295,0,IER3
7.76573423136841e-299,1.5594530827654305,0.972,0.238,1.4266430356446907e-294,0,S100A11
1.8750014690506063e-297,1.7516041150846546,0.998,0.347,3.444565198792869e-293,0,NEAT1
2.2333049244809743e-296,2.104236451157798,0.999,0.449,4.1028044767639975e-292,0,APOC1
2.8181757321437164e-296,1.3345001455455487,0.901,0.187,5.1772706375212216e-292,0,ARHGDIB
3.3293373200975676e-293,1.535090400016435,0.885,0.179,6.116325590751241e-289,0,MS4A6A
7.053442590141869e-291,1.2709406593006904,0.854,0.165,1.2957879382349628e-286,0,LST1
6.191219642522042e-290,1.3598774524524568,0.894,0.187,1.1373889605277243e-285,0,GYPC
4.43431062408453e-289,1.3043515924866032,0.875,0.174,8.146272047505691e-285,0,ITGB2
1.2711090444581366e-288,1.2519681805261882,0.804,0.135,2.3351544255740426e-284,0,CYBB
1.4080596534406508e-287,1.3545552217018564,0.79,0.142,2.5867463893358195e-283,0,SCIN
